mode_rank,eigen_index,omega_sq,omega,Omega_FEM,Omega_exact,matched_m,matched_n,MAC,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual,residual_ok
21,21,12454.221315725961,111.59848258702249,368.78190949086354,1707.441561388459,2,13,0.0407903797822633,99.9968,0.0016,0.0016,6.607677363030079e-8,true
22,22,12454.746398413487,111.60083511521536,368.7896835198556,1677.832748185191,13,1,0.03227559132615693,99.9968,0.0016,0.0016,5.981671151058575e-8,true
23,23,17402.71080047919,131.91933444525557,435.9330246049647,1677.832748185191,1,13,0.07174357434791188,99.9961,0.0019,0.0019,4.747244611380071e-8,true
24,24,17402.71086687377,131.91933469690397,435.9330254365475,1677.832748185191,1,13,0.03822021985566721,99.9961,0.0019,0.0019,4.276645982580509e-8,true
25,25,18112.66480891794,134.5833006316829,444.73621362936467,3602.405606397616,13,14,0.0832275240476212,99.9961,0.0020,0.0020,8.080077576142062e-8,true
26,26,18112.66504627772,134.58330151351512,444.73621654341656,128.30485721416164,2,3,0.033288584936916756,99.9961,0.0020,0.0020,4.6454475968343454e-8,true
27,27,19800.767365662523,140.71519948343365,464.9993329382686,1677.832748185191,1,13,0.07636716715929016,99.9959,0.0021,0.0021,5.673660250933591e-8,true
28,28,19800.79515219806,140.71529821664046,464.99965920632974,3572.7967931943476,1,19,0.03912952553343607,99.9959,0.0021,0.0021,4.2197405340031646e-8,true
29,29,24271.190874304775,155.79213996317264,514.8217209359062,3602.405606397616,2,19,0.07329232227034618,99.9954,0.0023,0.0023,4.965257892761641e-8,true
30,30,24271.1909542629,155.7921402197906,514.8217217839111,1944.3120670146036,14,1,0.046555877733839776,99.9954,0.0023,0.0023,3.5704310097212144e-8,true
31,31,27616.899552441606,166.18333115099603,549.1598520582712,128.30485721416164,3,2,0.05788282821847094,99.9951,0.0024,0.0024,3.136960876742992e-8,true
32,32,31868.11172584564,178.51641864502446,589.9150617217994,1707.441561388459,2,13,0.041201488350825384,99.9947,0.0026,0.0026,2.48624431243155e-8,true
33,33,31868.23081885011,178.51675220788135,589.9161639943791,3355.665496370382,18,4,0.0312545978385705,99.9947,0.0026,0.0026,2.980933912653984e-8,true
34,34,36616.55355006553,191.3545232025246,632.3391216481197,167.7832748185191,4,1,0.07588001289372065,99.9942,0.0029,0.0029,2.1773539151917277e-8,true
35,35,36616.69684812319,191.35489763296675,632.3403589693648,167.7832748185191,4,1,0.04260925095992293,99.9942,0.0029,0.0029,2.148557072671992e-8,true
36,36,39965.280167153884,199.9131815742871,660.6215705116814,2615.44516628868,16,3,0.044760389863631296,99.9939,0.0030,0.0030,2.160399876228024e-8,true
37,37,39965.28028182288,199.9131818610841,660.6215714594142,1431.0926381579568,1,12,0.059902840059209636,99.9939,0.0030,0.0030,2.1194726684549645e-8,true
38,38,43947.40464262487,209.63636288255162,692.7522347112736,1756.7895833939058,3,13,0.05159069746297135,99.9938,0.0031,0.0031,1.8001028279248696e-8,true
39,39,43947.40468181948,209.636362976034,692.7522350201901,177.65287921960845,3,3,0.05529203695479688,99.9938,0.0031,0.0031,1.8245075081757443e-8,true
40,40,46044.34686144635,214.5794651439097,709.086925367401,2309.48742985491,3,15,0.03274683050958142,99.9935,0.0033,0.0033,1.807388258342523e-8,true
41,41,46045.61139735105,214.58241166822376,709.0966622817184,3286.5782655627563,18,3,0.03361778892570861,99.9935,0.0033,0.0033,1.9113953336388835e-8,true
42,42,56045.11181267331,236.73848823685876,782.3123551334163,1460.701451361225,2,12,0.03580234445487813,99.9928,0.0036,0.0036,1.3204886256293816e-8,true
43,43,56045.11201598812,236.73848866626676,782.3123565524132,3355.665496370382,12,14,0.020260871822101054,99.9928,0.0036,0.0036,2.080433191693211e-8,true
44,44,63790.07983570687,252.56698088963822,834.6182790988458,3651.7536284030625,3,19,0.06844724337886145,99.9924,0.0038,0.0038,1.2076166616775938e-8,true
45,45,71306.06718317859,267.0319591044836,882.4184118887763,1510.0494733666717,3,12,0.07616782269983448,99.9918,0.0041,0.0041,1.3441991648664363e-8,true
46,46,71309.54747182819,267.03847563942577,882.4399460543272,3651.7536284030625,3,19,0.03801617890562533,99.9918,0.0041,0.0041,1.224605943502675e-8,true
47,47,73459.52294438997,271.03417301954744,895.643897178303,167.7832748185191,1,4,0.05170130739514135,99.9914,0.0043,0.0043,1.0858053078059225e-8,true
48,48,73459.52307227698,271.03417325547156,895.6438979579242,3720.840859210688,11,16,0.03760035053087671,99.9914,0.0043,0.0043,1.7422595006848284e-8,true
49,49,78092.64685296982,279.45061612558635,923.4563896765404,2260.139407849463,15,2,0.03485502350838976,99.9911,0.0044,0.0044,1.0851404103612637e-8,true
50,50,78092.70168549102,279.45071423328125,923.4567138775709,167.7832748185191,1,4,0.05868696812880473,99.9911,0.0044,0.0044,9.575573651055894e-9,true
51,51,86341.87111051525,293.8398732481949,971.0062989120238,3355.665496370382,14,12,0.04107295698358282,99.9907,0.0047,0.0047,1.1256490169882504e-8,true
52,52,86341.871211572,293.83987342015376,971.006299480269,3355.665496370382,12,14,0.023606457265912813,99.9907,0.0047,0.0047,9.422568169691309e-9,true
53,53,95489.16118152882,309.0132055131768,1021.1472176441039,2092.356133030944,14,4,0.04943012630316725,99.9905,0.0048,0.0048,9.282549511391021e-9,true
54,54,95489.16142868903,309.0132059130953,1021.1472189656515,3720.840859210688,4,19,0.0829631146372966,99.9905,0.0048,0.0048,9.106603510409096e-9,true
55,55,99592.34425685045,315.5825474528819,1042.8558861534066,3335.926287568203,13,13,0.07081141127058962,99.9900,0.0050,0.0050,8.140893536568516e-9,true
56,56,99592.58131493666,315.5829230407385,1042.8571272993765,197.39208802178717,2,4,0.07213103036889908,99.9900,0.0050,0.0050,8.91990453876333e-9,true
57,57,119145.18231384896,345.17413332092104,1140.6425342179866,1756.7895833939058,3,13,0.022530452560260688,99.9890,0.0055,0.0055,7.088916676792016e-9,true
58,58,119145.18249855313,345.1741335884732,1140.642535102124,3355.665496370382,14,12,0.03780951748578952,99.9890,0.0055,0.0055,6.742751214725212e-9,true
59,59,132510.9315299575,364.02050976553164,1202.9211829156288,3651.7536284030625,19,3,0.07823012408561951,99.9885,0.0057,0.0057,6.413841477012633e-9,true
60,60,143484.37841103174,378.79331885743676,1251.7385558687831,256.6097144283233,1,5,0.05150445625251901,99.9873,0.0064,0.0064,5.999881073404704e-9,true
61,61,143484.68214006085,378.79371977378514,1251.7398807138266,256.6097144283233,5,1,0.03447961264240272,99.9873,0.0064,0.0064,6.113411634513456e-9,true
62,62,149214.58174153834,386.28303320433105,1276.4886339555078,2023.2689022233185,3,14,0.027905490978056113,99.9877,0.0062,0.0062,6.5193676276378125e-9,true
63,63,149215.17868234156,386.28380587638094,1276.4911872830025,2181.1825726407483,5,14,0.02529944224988108,99.9877,0.0062,0.0062,6.344791430164048e-9,true
64,64,149655.9610564134,386.8539272857565,1278.375177612595,2684.5323970963054,4,16,0.04001326024001541,99.9870,0.0065,0.0065,5.9431521266092674e-9,true
65,65,149655.96117353722,386.8539274371364,1278.3751781128365,256.6097144283233,1,5,0.06237978730903443,99.9870,0.0065,0.0065,5.133541133667397e-9,true
66,66,160494.66937115075,400.6178595259462,1323.8586743051412,1460.701451361225,12,2,0.02406600506331974,99.9866,0.0067,0.0067,5.947233910229265e-9,true
67,67,160497.22415587457,400.62104806896326,1323.869210980507,3010.229342332254,4,17,0.043001101871417244,99.9866,0.0067,0.0067,5.188376973196566e-9,true
68,68,177637.9197194386,421.47113746903074,1392.7692139533633,286.21852763159137,2,5,0.05107534431904339,99.9859,0.0071,0.0071,4.8935846963698705e-9,true
69,69,177637.91981419176,421.47113758143837,1392.7692143248191,128.30485721416164,2,3,0.042831639623721086,99.9859,0.0071,0.0071,7.981039827290832e-9,true
70,70,193435.47378799703,439.81299865738055,1453.3806706313826,3089.186177540969,12,13,0.049137781930460304,99.9858,0.0071,0.0071,5.206433524792881e-9,true
71,71,193435.4739520669,439.81299884390285,1453.3806712477533,1579.1367041742974,12,4,0.03847543655301266,99.9858,0.0071,0.0071,4.88349964159248e-9,true
72,72,202284.86764985684,449.76090053478066,1486.253933463739,197.39208802178717,4,2,0.05552896009322152,99.9849,0.0075,0.0075,4.537974529011701e-9,true
73,73,202290.86793673452,449.76757101500164,1486.2759763479798,335.5665496370382,3,5,0.03008531018488848,99.9849,0.0075,0.0075,4.321734089922168e-9,true
74,74,239372.13288640557,489.2567147075302,1616.7695231910914,246.74011002723395,3,4,0.03738230333701875,99.9836,0.0082,0.0082,4.077635172498518e-9,true
75,75,239372.1330705827,489.25671489575154,1616.7695238130768,2862.1852763159136,13,11,0.026138073823361627,99.9836,0.0082,0.0082,6.362454960799193e-9,true
76,76,264228.3942564042,514.0315109566768,1698.6388860731797,315.82734083485946,4,4,0.03501879052757031,99.9830,0.0085,0.0085,3.993822388950144e-9,true
77,77,278224.72773958294,527.4701202339171,1743.0473392642684,1204.0917369329018,1,11,0.027004091528940132,99.9808,0.0096,0.0096,3.4588644909936724e-9,true
78,78,278224.72782514105,527.4701203150194,1743.0473395322742,256.6097144283233,5,1,0.039764758112385244,99.9808,0.0096,0.0096,3.2879861198225342e-9,true
79,79,286562.55693296355,535.3153808111285,1768.972334918769,1204.0917369329018,1,11,0.04960241649156006,99.9806,0.0097,0.0097,3.5862433537281167e-9,true
80,80,286562.6549168106,535.3154723308589,1768.972637349592,1204.0917369329018,1,11,0.039715608933865255,99.9806,0.0097,0.0097,2.9225650898618406e-9,true
81,81,292017.6065892528,540.3865344262872,1785.730176693736,1510.0494733666717,12,3,0.06999672877514618,99.9817,0.0092,0.0092,3.664719655061853e-9,true
82,82,292024.17609491927,540.3926129166823,1785.750263322539,2842.446067513735,12,12,0.04877967989152964,99.9817,0.0092,0.0092,3.3381202435651942e-9,true
83,83,301032.82398195186,548.6645824016271,1813.0853366245378,1233.7005501361698,2,11,0.04879904531383574,99.9801,0.0099,0.0099,3.030429644764716e-9,true
84,84,301032.82406337495,548.6645824758283,1813.085336869739,1233.7005501361698,2,11,0.028238638772554617,99.9801,0.0099,0.0099,3.3146269358249967e-9,true
85,85,323663.41413268854,568.9142414570833,1880.0011921083876,2181.1825726407483,14,5,0.05052840727619796,99.9795,0.0103,0.0103,2.751138034000272e-9,true
86,86,323663.84323889227,568.914618584276,1880.002438341159,2181.1825726407483,14,5,0.0391644018794974,99.9795,0.0103,0.0103,2.9371202903858253e-9,true
87,87,355441.36051759386,596.1890308598388,1970.1318881872157,1283.0485721416164,3,11,0.023637224749479806,99.9785,0.0107,0.0107,4.0621858124009676e-9,true
88,88,355441.3607909714,596.1890310891097,1970.1318889448512,286.21852763159137,5,2,0.05799618003460298,99.9785,0.0107,0.0107,2.909931150869206e-9,true
89,89,374375.20303668635,611.8620784430805,2021.924137340621,404.65378044466365,4,5,0.11888675873643959,99.9789,0.0105,0.0105,2.661852300054181e-9,true
90,90,374375.2031094528,611.8620785025436,2021.9241375371193,2615.44516628868,11,12,0.08055951108230221,99.9789,0.0105,0.0105,4.380271592729969e-9,true
91,91,402469.22214121424,634.4046202079666,2096.416920791773,1283.0485721416164,3,11,0.03919344691761505,99.9771,0.0114,0.0114,2.5884230338029807e-9,true
92,92,402470.34218085854,634.4055029560026,2096.4198378700235,1756.7895833939058,13,3,0.04119569958724422,99.9771,0.0114,0.0114,6.292247311156923e-9,true
93,93,466947.241052759,683.3353796290362,2258.1106864580684,1352.1358029492421,11,4,0.025742431781320536,99.9753,0.0124,0.0124,2.163717500914872e-9,true
94,94,466947.24120693887,683.3353797418504,2258.1106868308675,1914.7032538113353,13,5,0.02736313785776071,99.9753,0.0124,0.0124,2.4546268334248056e-9,true
95,95,497539.68821864825,705.3649326544723,2330.90827690573,2388.4442650636247,11,11,0.06407819389623223,99.9749,0.0126,0.0126,2.181010588834603e-9,true
96,96,545645.0794088691,738.6779267101929,2440.992475847652,256.6097144283233,5,1,0.03567660709923438,99.9701,0.0149,0.0149,2.5492025907771986e-9,true
97,97,545645.193364312,738.6780038449176,2440.9927307426146,256.6097144283233,5,1,0.06824195268535768,99.9701,0.0149,0.0149,2.3175208392035517e-9,true
98,98,556547.9717063428,746.021428449842,2465.2593881847934,2773.3588367061097,5,16,0.051398372973958134,99.9699,0.0151,0.0151,1.6129043463245847e-9,true
99,99,556547.9718264571,746.0214285303452,2465.2593884508196,996.8300445100251,1,10,0.04557481202595163,99.9699,0.0151,0.0151,3.3379514670975582e-9,true
100,100,565939.8180832143,752.2897168532974,2485.973212540453,1352.1358029492421,4,11,0.023115589308833798,99.9725,0.0138,0.0138,1.982329742804029e-9,true
101,101,565942.3554084928,752.2914032530831,2485.9787853199273,789.5683520871487,8,4,0.02588281217634838,99.9725,0.0138,0.0138,2.124009595636474e-9,true
102,102,575274.8787417262,758.4687724235758,2506.392163221799,1026.4388577132931,2,10,0.060128573948968346,99.9694,0.0153,0.0153,1.6871831823045962e-9,true
103,103,575275.4504388802,758.4691492993504,2506.3934086237487,2467.4011002723396,5,15,0.047806373774417266,99.9694,0.0153,0.0153,1.8067528365555226e-9,true
104,104,604409.7795843116,777.4379586721449,2569.076642114961,2289.748221052731,14,6,0.06960416175582937,99.9688,0.0156,0.0156,1.6143138536640527e-9,true
105,105,604409.7795999902,777.4379586822283,2569.076642148282,2289.748221052731,14,6,0.03883484318048612,99.9688,0.0156,0.0156,3.327890324483226e-9,true
106,106,644435.1087193234,802.7671572251343,2652.7780508770447,3128.6645951453265,11,14,0.03081242781434597,99.9679,0.0161,0.0161,1.694482809409969e-9,true
107,107,644447.6377052789,802.7749608111098,2652.8038381572137,3128.6645951453265,11,14,0.04435050182974478,99.9678,0.0161,0.0161,1.6616586961369427e-9,true
108,108,703165.5279998231,838.5496574442226,2771.02283746599,3918.232947232475,19,6,0.050320250004786606,99.9665,0.0168,0.0168,3.367839322855804e-9,true
109,109,703165.5281506673,838.5496575341662,2771.0228377632125,3918.232947232475,19,6,0.043004155464203636,99.9665,0.0168,0.0168,1.4519482248197489e-9,true
110,110,707736.4799046583,841.2707530305914,2780.0148130106913,1440.9622425590462,5,11,0.09169097917254775,99.9685,0.0158,0.0158,1.880929227619031e-9,true
111,111,707736.4800429265,841.2707531127696,2780.0148132822524,1440.9622425590462,5,11,0.05114833610779203,99.9685,0.0158,0.0158,1.5373836563744528e-9,true
112,112,780861.9672398007,883.663944743589,2920.1049094610667,1352.1358029492421,11,4,0.03461659205360064,99.9647,0.0177,0.0177,1.222444624001464e-9,true
113,113,780936.4638691925,883.7060958651313,2920.244199626391,1914.7032538113353,5,13,0.05662429478026789,99.9647,0.0177,0.0177,1.4685745791003155e-9,true
114,114,898918.0420365492,948.112884648526,3133.0791593956124,1579.1367041742974,4,12,0.028776903960182246,99.9619,0.0190,0.0190,1.8031681011220235e-9,true
115,115,898918.042118995,948.1128846920049,3133.07915953929,1776.5287921960844,12,6,0.051600550314609014,99.9619,0.0190,0.0190,1.2336901093493567e-9,true
116,116,945816.2544929399,972.5308501497215,3213.7693599670315,1352.1358029492421,4,11,0.03962761268903199,99.9621,0.0190,0.0190,1.165290792724992e-9,true
117,117,1.0596891253079057e6,1029.4120289310329,3401.735622937551,1440.9622425590462,5,11,0.03124845951197514,99.9581,0.0209,0.0209,1.0708860370729541e-9,true
118,118,1.0600532474809948e6,1029.5888730367062,3402.320011770272,493.4802200544679,5,5,0.06521711441459913,99.9581,0.0209,0.0209,1.790608147193121e-9,true
119,119,1.1106517291845581e6,1053.8746268814702,3482.5733133267095,49.34802200544679,2,1,0.02547303135523299,99.9504,0.0248,0.0248,1.3718223743710853e-9,true
120,120,1.1106517293644138e6,1053.8746269668009,3482.573313608688,493.4802200544679,7,1,0.0657846153280753,99.9504,0.0248,0.0248,9.413724236609106e-10,true
121,121,1.1257312388196185e6,1061.004825068962,3506.1353550469544,2260.139407849463,15,2,0.035489074791945505,99.9501,0.0249,0.0249,1.1659651735488861e-9,true
122,122,1.1257318348556506e6,1061.005105951734,3506.136283235964,365.17536284030626,1,6,0.03731593582033565,99.9501,0.0249,0.0249,9.17875947857809e-10,true
123,123,1.1513095610081225e6,1072.9909417176468,3545.743984865334,2921.40290272245,14,10,0.017170441481817438,99.9497,0.0251,0.0251,9.993344528660717e-10,true
124,124,1.151309561045577e6,1072.9909417351,3545.7439849230086,1233.7005501361698,11,2,0.03863044065238019,99.9497,0.0251,0.0251,9.106899702381837e-10,true
125,125,1.191062854902792e6,1091.3582614809823,3606.439570482013,394.78417604357435,2,6,0.04674609805261515,99.9491,0.0255,0.0255,9.557435384975924e-10,true
126,126,1.191065684007486e6,1091.3595576195253,3606.443853626692,3207.6214303540414,6,17,0.03466974144771343,99.9491,0.0255,0.0255,8.878558810025475e-10,true
127,127,1.2442886365735922e6,1115.4768651001204,3686.1405170426733,444.1321980490211,6,3,0.028939371853495106,99.9482,0.0259,0.0259,1.3762810696373995e-9,true
128,128,1.2442886365912938e6,1115.4768651080549,3686.140517068893,286.21852763159137,5,2,0.05145083568059503,99.9482,0.0259,0.0259,9.491116155958222e-10,true
129,129,1.3222495461213612e6,1149.8911018532847,3799.8638190921083,2654.923583893037,13,10,0.021196760564561164,99.9468,0.0266,0.0266,9.385847583870584e-10,true
130,130,1.3222582092382195e6,1149.8948687763675,3799.876267048883,2654.923583893037,13,10,0.0360234255120354,99.9468,0.0266,0.0266,9.202964307185889e-10,true
131,131,1.327365023783404e6,1152.1132860024677,3807.20712067452,1549.5278909710291,6,11,0.024640302058420504,99.9518,0.0241,0.0241,8.904611097415927e-10,true
132,132,1.327365023846165e6,1152.113286029705,3807.207120764527,1776.5287921960844,12,6,0.02956207120107183,99.9518,0.0241,0.0241,9.151352815939105e-10,true
133,133,1.4211915642324213e6,1192.137393186046,3939.4684770179388,1144.8741105263655,10,4,0.04391347187680082,99.9450,0.0275,0.0275,1.2182615850423455e-9,true
134,134,1.4211915643352428e6,1192.1373932291708,3939.4684771604466,1144.8741105263655,10,4,0.023362206460338885,99.9450,0.0275,0.0275,8.257908267853653e-10,true
135,135,1.5711926058905125e6,1253.4722198319803,4142.152007872766,513.2194288566466,4,6,0.05197501885278255,99.9423,0.0289,0.0289,7.557511887001497e-10,true
136,136,1.5712179458847905e6,1253.4823277114003,4142.1854097881605,789.5683520871487,8,4,0.032960583973259405,99.9422,0.0289,0.0289,1.3230171637602562e-9,true
137,137,1.7318895799084692e6,1316.0127582620426,4348.819864354062,1342.2661985481527,10,6,0.07605711124248236,99.9420,0.0290,0.0290,7.588625081534538e-10,true
138,138,1.7636135033715095e6,1328.011108150647,4388.468919431569,730.3507256806125,7,5,0.04814210961892692,99.9386,0.0307,0.0307,6.854283585516055e-10,true
139,139,1.763613503394876e6,1328.0111081594446,4388.468919460641,493.4802200544679,5,5,0.03311930359856282,99.9386,0.0307,0.0307,7.264293050407555e-10,true
140,140,2.0834160356461033e6,1443.4043216112743,4769.790677719038,493.4802200544679,5,5,0.027546015634614382,99.9322,0.0339,0.0339,6.745186969417192e-10,true
141,141,2.0835074816923875e6,1443.4359984746077,4769.895355254754,710.6115168784338,6,6,0.05438685543806804,99.9322,0.0339,0.0339,7.950033776660236e-10,true
142,142,2.449262012281762e6,1565.0118249654736,5171.647820000589,3513.5791667878116,10,16,0.0383971728137007,99.9079,0.0460,0.0460,4.729755495281259e-10,true
143,143,2.4492988479978237e6,1565.023593431685,5171.686709395324,365.17536284030626,6,1,0.0623486940144171,99.9079,0.0460,0.0460,3.878518853910505e-10,true
144,144,2.470051584431779e6,1571.6397756584615,5193.550163615928,493.4802200544679,1,7,0.058796814838663114,99.9077,0.0462,0.0462,4.0056411276842877e-10,true
145,145,2.4700515844894536e6,1571.63977567681,5193.55016367656,2881.9244851180924,6,16,0.03679541802033898,99.9077,0.0462,0.0462,4.728062373424134e-10,true
146,146,2.50430335775287e6,1582.4990861775782,5229.43521488328,3207.6214303540414,6,17,0.05770765691665966,99.9073,0.0463,0.0463,5.81674495004091e-10,true
147,147,2.5046853269965043e6,1582.6197670307622,5229.83400987085,2921.40290272245,14,10,0.030971572024356957,99.9073,0.0464,0.0464,4.1252961491001677e-10,true
148,148,2.5310782338036047e6,1590.9362758462719,5257.316265275978,1549.5278909710291,11,6,0.06682177121931117,99.9228,0.0386,0.0386,7.877642666329439e-10,true
149,149,2.531078233937602e6,1590.9362758883844,5257.316265415141,602.0458684664509,5,6,0.04259055597080941,99.9228,0.0386,0.0386,5.228859199422662e-10,true
150,150,2.558897445716704e6,1599.6554146805192,5286.129028620698,523.089033257736,2,7,0.038051407401263254,99.9067,0.0467,0.0467,4.606829730368206e-10,true
151,151,2.55889744577017e6,1599.655414697231,5286.129028675923,394.78417604357435,2,6,0.05686206284246291,99.9067,0.0467,0.0467,7.237429528836692e-10,true
152,152,2.627611846626788e6,1620.991007571229,5356.633398428954,3681.3624416063303,7,18,0.026279116908916496,99.9060,0.0470,0.0470,4.705658086762896e-10,true
153,153,2.6290168762647067e6,1621.424335658222,5358.065349434494,394.78417604357435,6,2,0.04115364909808966,99.9059,0.0471,0.0471,5.006733563566133e-10,true
154,154,2.7327675808235747e6,1653.108460090739,5462.766879759142,3553.057584392169,6,18,0.026148253419519474,99.9046,0.0477,0.0477,4.111760167415181e-10,true
155,155,2.732767580826881e6,1653.108460091739,5462.7668797624465,572.4370552631827,3,7,0.03862050766914833,99.9046,0.0477,0.0477,4.647072444958681e-10,true
156,156,2.852654541873755e6,1688.9803260765814,5581.3069793070335,3918.232947232475,6,19,0.03473399347038244,99.9034,0.0483,0.0483,4.0383827268898004e-10,true
157,157,2.856871447010157e6,1690.2282233503727,5585.430708669736,3918.232947232475,6,19,0.03641564394666872,99.9032,0.0484,0.0484,1.5014496062339603e-9,true
158,158,3.0472497578925705e6,1745.6373500508548,5768.532513229588,2842.446067513735,12,12,0.041999495968740426,99.9007,0.0497,0.0497,6.978692473918855e-10,true
159,159,3.047249758125701e6,1745.63735011763,5768.532513450249,641.5242860708082,4,7,0.02724687279823672,99.9007,0.0497,0.0497,4.1842523618881037e-10,true
160,160,3.257140162805339e6,1804.7548760996156,5963.888880406333,2181.1825726407483,11,10,0.041678501703039016,99.8982,0.0509,0.0509,4.1549325132361785e-10,true
161,161,3.26997574152889e6,1808.307424507484,5975.628426993723,2181.1825726407483,10,11,0.033862576683385014,99.8977,0.0512,0.0512,6.665744462973067e-10,true
162,162,3.4200741867559706e6,1849.3442585835583,6111.236382220475,1342.2661985481527,6,10,0.048703809437261686,99.9038,0.0481,0.0481,4.4698603144211234e-10,true
163,163,3.6445043117655306e6,1909.058488303994,6308.564581937763,730.3507256806125,5,7,0.033267814553884646,99.8920,0.0540,0.0540,4.375218908149375e-10,true
164,164,3.644504311873465e6,1909.0584883322629,6308.564582031179,730.3507256806125,5,7,0.028336939646407707,99.8920,0.0540,0.0540,3.4920057371677995e-10,true
165,165,4.056339284060103e6,2014.0355716968115,6655.465797518331,838.9163740925954,6,7,0.046969976146243486,99.8861,0.0569,0.0569,3.5180806162903636e-10,true
166,166,4.107238870959047e6,2026.6323966025627,6697.092538622473,1549.5278909710291,6,11,0.03206669425119406,99.8843,0.0579,0.0579,3.7897524799294354e-10,true
167,167,5.0343985012915945e6,2243.746532318567,7414.5553901838375,3326.0566831671135,16,9,0.029869998127158636,99.8678,0.0661,0.0661,2.709109504274015e-10,true
168,168,5.034398501405304e6,2243.7465323439064,7414.555390267573,2181.1825726407483,11,10,0.0998732285543994,99.8678,0.0661,0.0661,3.325414379171204e-10,true
169,169,5.702098006467826e6,2387.906615943728,7890.93848858478,1904.8336494102462,12,7,0.023220352891172677,99.8687,0.0657,0.0657,3.019614017875564e-10,true
170,170,6.455895958784022e6,2540.84552044866,8396.33157217612,809.3075608893273,9,1,0.04775288308539042,99.7880,0.1060,0.1060,1.7087131175601166e-10,true
171,171,6.455895958811819e6,2540.84552045413,8396.331572194196,3010.229342332254,7,16,0.03279220541721503,99.7880,0.1060,0.1060,1.6199469563058447e-10,true
172,172,6.492149453958466e6,2547.9696728882914,8419.873635466654,2891.794089519182,17,2,0.029535629835298807,99.7879,0.1061,0.1061,1.8308283479843665e-10,true
173,173,6.492384021666511e6,2548.0157027904106,8420.025743226577,809.3075608893273,1,9,0.0430760038987495,99.7878,0.1061,0.1061,2.6283308944186384e-10,true
174,174,6.5477851644986365e6,2558.864037907961,8455.874525814885,1026.4388577132931,2,10,0.03167288125411094,99.7878,0.1061,0.1061,1.5121646945200754e-10,true
